Avg Child Number;Avg Energy;Evg Life length;Number of animals;Number of free places;Number of grass;Popular genotype
0.0;21.0;0.0;10;112;29;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.0;28.0;0.0;10;111;45;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.0;37.0;0.0;10;112;60;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.0;48.0;0.0;10;111;74;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.33333334;47.5;0.0;12;113;89;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1]"
0.46153846;56.76923;0.0;13;110;100;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [1, 0, 5, 1, 7, 6, 0, 5, 1, 6, 3, 3, 5, 3, 5, 6, 0, 1, 5, 1, 1, 2, 1, 1, 6, 0, 2, 7, 2, 5, 6, 7, 7, 3, 5, 7, 6, 0, 0, 1, 4, 1, 6, 0, 6, 2, 0, 2, 0, 1]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1]"
0.5714286;67.5;0.0;14;109;109;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.6666667;75.4;0.0;15;109;119;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.75;84.75;0.0;16;109;121;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
0.8235294;95.29412;0.0;17;107;121;"[[0, 7, 6, 1, 6, 2, 4, 0, 5, 5, 2, 6, 1, 6, 1, 2, 7, 3, 2, 0, 5, 2, 2, 1, 0, 5, 2, 5, 3, 1, 3, 2, 3, 4, 2, 4, 4, 7, 7, 5, 5, 6, 7, 7, 5, 3, 2, 3, 5, 0]=1, [4, 7, 3, 0, 3, 3, 3, 1, 5, 3, 7, 5, 5, 3, 0, 2, 4, 2, 2, 7, 5, 1, 2, 1, 4, 5, 3, 7, 5, 4, 4, 4, 2, 5, 2, 6, 7, 2, 7, 0, 1, 5, 0, 6, 4, 0, 4, 3, 1, 3]=1, [0, 5, 0, 5, 1, 0, 4, 6, 4, 5, 6, 0, 3, 7, 1, 1, 3, 4, 5, 2, 5, 0, 0, 1, 1, 7, 5, 2, 7, 2, 2, 4, 7, 4, 4, 4, 2, 0, 7, 2, 4, 6, 3, 0, 5, 5, 4, 4, 4, 3]=1]"
